"","Subsample","HourblockAsHour","PctCILow","TotPct","PctCIHigh"
"1","Full sample",3,10.2996422574393,11.0761259914339,11.8580759896594
"2","Full sample",6,10.8175342435956,12.0247787862304,13.2451750326607
"3","Full sample",9,10.5464742167183,12.193132773487,13.8643193346249
"4","Full sample",12,10.6417090521256,12.3173881085825,14.0184454814474
"5","Full sample",15,11.5251711126849,13.2457216798399,14.9928159790026
"6","Full sample",18,12.799120866784,14.4021973067517,16.0280563185393
"7","Full sample",21,13.179088985415,14.2710532119571,15.3735528287619
"8","Winter",3,10.4862013004152,11.3073379956297,12.1345774028959
"9","Winter",6,10.9430255300887,12.2794873862025,13.6320487698378
"10","Winter",9,10.1603635131419,11.9510123620829,13.7707680803002
"11","Winter",12,9.60506480605761,11.3557783558277,13.134455922943
"12","Winter",15,10.372067369443,12.1575619711333,13.9719406106844
"13","Winter",18,11.9068689874759,13.6282080756396,15.3760246113742
"14","Winter",21,12.6161322308413,13.7848160299334,14.9656279477523
"15","Summer",3,10.8631673444205,12.0292262582299,13.2075497809536
"16","Summer",6,11.4414273922508,12.9803586093675,14.5405414323406
"17","Summer",9,11.4936992537042,13.6400260238021,15.827670990667
"18","Summer",12,12.5933513608839,14.9300044371513,17.3151501422715
"19","Summer",15,13.7404570654061,16.1827504109217,18.6774859299564
"20","Summer",18,14.4428115094747,16.589134793821,18.775711402777
"21","Summer",21,14.8676906488495,16.3520007997027,17.8554910751974
"22","Coast",3,5.21972635440338,6.77492197532492,8.35310409795234
"23","Coast",6,7.02213431454748,9.74600890767137,12.5392102138774
"24","Coast",9,7.56817075521561,11.012453197525,14.5670199503242
"25","Coast",12,5.44187207782574,8.9861800859004,12.6496259564632
"26","Coast",15,7.12193092876336,10.6116575114462,14.2150694199656
"27","Coast",18,9.9872408453576,13.6178002084675,17.3682003930013
"28","Coast",21,7.94872045468371,10.3830054649883,12.8721845350505
"29","Inland Hills",3,10.4145416552718,12.0676252533606,13.7454581765048
"30","Inland Hills",6,12.636088862396,15.186031433017,17.7937015683923
"31","Inland Hills",9,10.5555075579985,13.8010884220739,17.1419498866181
"32","Inland Hills",12,10.03593038663,13.1594386774049,16.3716116798631
"33","Inland Hills",15,12.1270589838254,15.2294071388158,18.4175915242576
"34","Inland Hills",18,15.0728287931359,18.1683598516254,21.3471626314637
"35","Inland Hills",21,15.9988068939495,18.2916382604719,20.62978971102
"36","Central Valley",3,9.99776586881438,10.9918179005858,11.9948532006451
"37","Central Valley",6,9.11366370976245,10.6398781446661,12.1874403230338
"38","Central Valley",9,9.18929453502819,11.3563462717455,13.5664069247637
"39","Central Valley",12,10.0869926683552,12.3486840922376,14.6568410246499
"40","Central Valley",15,10.3060346838205,12.6496304083295,15.0430188838489
"41","Central Valley",18,10.4521943229378,12.5565189311906,14.700934929968
"42","Central Valley",21,11.5570414024295,12.950964944339,14.362305789686
"43","Full sample",0,9.16438936707866,11.6605299514398,14.2137470041715
"44","Winter",0,9.20141925475624,11.8847793532474,14.6340765198399
"45","Summer",0,9.20966092707456,12.5611338430718,16.0154581974063
"46","Coast",0,0.905722798912656,6.99831492657053,13.4587720058325
"47","Inland Hills",0,8.93213454689421,13.5288495849552,18.3195366701906
"48","Central Valley",0,8.07831303286788,11.3926432192618,14.8086106747451
